company_name,category,address,website_url,phone_number,email_address,latitude,longitude,geocode_method
"Grannies, Squares and Stitches. A Morning of Creativity and Community","Adult Art, Craft and Making, Art, Craft & Making","West Cork Collective, Main St",https://emmajacobsart.com,0858263872,emma@emmajacobsart.com,51.6666775,-8.5951639,full
ART JAM STUDIO,"Adult Art, Craft and Making, Art, Craft & Making, Painting, Pottery & Ceramics","22A New Street, Killarney",https://www.artjam.ie,+353860615695,info@artjam.ie,52.0590247,-9.5104913,full
Painting and Drawing Classes,"Art & Craft (Online), Art, Craft & Making, Arts & Crafts Camps, Glass Art & Stained Glass, Painting","Wexford Enterprise Centre, Strandfield Business Park, Rosslare Rd",https://www.artclasseswexford.com,0871371756,hmclarts@hotmail.com,52.3134551,-6.453401,drop-venue
Art Classes with Caroline - Toddler Art Class,Art & Crafts,"Borris Little, Portlaoise, County Laois, R32 FH67, Ireland",https://www.artclasseswithcarolinekeane.ie/,,artclasseswithcarolinekeane@gmail.com,53.0379583,-7.2910557,full
Creation Cup,Art & Crafts,"Trinity Without, Waterford, X91 ER27, Ireland",https://www.creationcup.ie,,info@creationcup.ie,52.2604309,-7.1167149,full
Little Artists Ireland,Art & Crafts,"Clara Parochial Hall, River St, Kilcoursey, Clara, County Offaly, Ireland",https://totsspots.com/listing/little-artists-ireland/,0894154525,valeriatawil@hotmail.com,53.1361722,-7.8103408,area-level
Messy Munchkins by Jen,"Art & Crafts, Sensory/Messy Play","Cheekpoint, County Waterford, X91 HK83, Ireland",https://messymunchkinsbyjen.setmore.com,0834803075,messymunchkinsbyjen@gmail.com,52.2689939,-6.9958602,full
The Yoga Fairy,"Art & Crafts, Yoga & Wellness","Knocknamoe, County Laois, R32 H3K8, Ireland",https://totsspots.com/listing/the-yoga-fairy/,0851963743,info@theyogafairy.ie,52.9095184,-7.3426644,full
Mindful Present Moments,"Art & Crafts, Yoga & Wellness, Movement & Play","2PCH+2P Portlaoise, County Laois, Ireland Summerhill Or Aghnaharna, County Laois, R32 N8C2, Ireland",https://totsspots.com/listing/mindful-present-moments/,,mindfulpresentmoments@gmail.com,53.3411249,-6.2545,area-level
Kids Connect Sligo,"Art & Crafts, Yoga & Wellness, STEM","Caltragh, County Sligo, Ireland Sligo, Ireland",https://totsspots.com/listing/kids-connect-sligo/,0877775945,loftymc75@gmail.com,54.2533672,-8.492989,area-level
