company_name,category,address,website_url,phone_number,email_address
"Grannies, Squares and Stitches. A Morning of Creativity and Community","Adult Art, Craft and Making, Art, Craft & Making","West Cork Collective, Main St",https://emmajacobsart.com,0858263872,emma@emmajacobsart.com
ART JAM STUDIO,"Adult Art, Craft and Making, Art, Craft & Making, Painting, Pottery & Ceramics","22A New Street, Killarney",https://www.artjam.ie,+353860615695,info@artjam.ie
Painting and Drawing Classes,"Art & Craft (Online), Art, Craft & Making, Arts & Crafts Camps, Glass Art & Stained Glass, Painting","Wexford Enterprise Centre, Strandfield Business Park, Rosslare Rd",https://www.artclasseswexford.com,0871371756,hmclarts@hotmail.com
Art Classes with Caroline - Toddler Art Class,Art & Crafts,"Borris Little, Portlaoise, County Laois, R32 FH67, Ireland",https://www.artclasseswithcarolinekeane.ie/,,artclasseswithcarolinekeane@gmail.com
Creation Cup,Art & Crafts,"Trinity Without, Waterford, X91 ER27, Ireland",https://www.creationcup.ie,,info@creationcup.ie
Little Artists Ireland,Art & Crafts,"Clara Parochial Hall, River St, Kilcoursey, Clara, County Offaly, Ireland",https://totsspots.com/listing/little-artists-ireland/,0894154525,valeriatawil@hotmail.com
Messy Munchkins by Jen,"Art & Crafts, Sensory/Messy Play","Cheekpoint, County Waterford, X91 HK83, Ireland",https://messymunchkinsbyjen.setmore.com,0834803075,messymunchkinsbyjen@gmail.com
The Yoga Fairy,"Art & Crafts, Yoga & Wellness","Knocknamoe, County Laois, R32 H3K8, Ireland",https://totsspots.com/listing/the-yoga-fairy/,0851963743,info@theyogafairy.ie
Mindful Present Moments,"Art & Crafts, Yoga & Wellness, Movement & Play","2PCH+2P Portlaoise, County Laois, Ireland Summerhill Or Aghnaharna, County Laois, R32 N8C2, Ireland",https://totsspots.com/listing/mindful-present-moments/,,mindfulpresentmoments@gmail.com
Kids Connect Sligo,"Art & Crafts, Yoga & Wellness, STEM","Caltragh, County Sligo, Ireland Sligo, Ireland",https://totsspots.com/listing/kids-connect-sligo/,0877775945,loftymc75@gmail.com
Art Classes/Private mentoring,"Art, Craft & Making, Card Making, Drawing & Illustration, Kids Art Club, Painting","Unit 2 The Courtyard , James Street, Westport",https://www.westportartmusicschool.com,09844573,westportartmusicschool@gmail.com
