company_name,category,description,class_types,minimum_age,maximum_age,age_range_display,parental_requirement,address,eircode,latitude,longitude,days_of_week,start_time,end_time,term_structure,price_amount,price_currency,pricing_basis,pricing_details,website_url,booking_url,email_address,phone_number,facilities,source_urls,date_verified,verification_status,image_url
3 different styles of yoga classes in Gorey Co.Wexford,"Breathwork & Pranayama, Hatha Yoga, Meditation, Mindfulness, Vinyasa Flow, Wellbeing, Wellness Retreats",Hi I’m Lauren from LK YOGA and I teach weekly classes in The Olive Room in The Palms Health & Well-being Centre Gorey. Tuesday 6.30-8pm Relaxing Yoga & Yoga Nidra Meditation Thursday 9.30-11am Hatha Yoga & Yoga Nidra Meditation Friday 7-8am Vinyasa Flow Classes are suitable for all levels including complete beginners All mats & props provided Drop in €16 (prebooking essential) 5 week block 90min class €70 5week block 60 min class €60 5 flexi class pass €75 TXT 0851280870 DM/PM @lk_yoga_,[],,,,,Gorey corporation lands,Y25 V6P6,52.6747425,-6.2959234,[],,,,,EUR,,,https://lkyoga.ie,,lk_yoga@yahoo.com,0851280870,[],"['https://lkyoga.ie', 'https://dostuff.ie/providerpages/3-different-styles-of-yoga-classes-in-gorey-co-wexford/']",2026-06-17T09:51:41,,https://dostuff.ie/wp-content/uploads/2026/06/IMG_2340.jpeg
ART JAM STUDIO,"Adult Art, Craft and Making, Art, Craft & Making, Painting, Pottery & Ceramics","Art Jam Studio Killarney is a new creative space for adults to attend once off creative activities such as Paint & Sip and Sculpt & Sip along with drop in sessions during the day to paint your own pottery, mindful art, collage making, splash art. tote bag painting etc. Also providing pottery classes, abstract art classes, mindful & intuitive art classes. There will be a range of drop in creative activities and classes - something for everyone and a unique space in the centre of Killarney town.",[],,,,,"22A New Street, Killarney",V93 N793,51.705042897491,-8.5358957558187,[],,,,,EUR,,,https://www.artjam.ie,,info@artjam.ie,+353860615695,[],"['https://www.artjam.ie', 'https://dostuff.ie/providerpages/art-jam-studio/']",2026-05-31T18:18:52,,https://dostuff.ie/wp-content/uploads/2026/05/Copy-of-Pink-Circle-Text-Logo-2.png
Ability Fitness Sligo,"Fitness & Sports, Intellectual Disability Supported Inclusion","Inclusive fitness classes held in Snapfitness Sligo for adults with autism/additional needs who prefer a sensory friendly environment. Low arousal, low impact and inclusive. Run by a hca (Jenna) in disability services qualified in low arousal training (studio 3 trainer) and all necessary up to date certificate (first aid, CPR, medication, epilepsy) alongside two gym instructors from Snapfitness Robbie and Laura.",[],,,,,"Snap Fitness Sligo, Unit 9",F91 N522,54.2496801,-8.470979,[],,,,,EUR,,,https://dostuff.ie/providerpages/ability-fitness-sligo/,,jenna.abilityfitnesssligo@gmail.com,0838958141,[],['https://dostuff.ie/providerpages/ability-fitness-sligo/'],2026-03-04T11:43:21,,https://dostuff.ie/wp-content/uploads/2026/03/IMG_5977.jpeg
Acting Classes Dublin and Online,"Acting & Drama, Music, Drama & Performance, Professional Development (CPD)","The Actors Wednesday Workshop and The Actors Friday Studio, The Summer Week Intensive and online one to one training. The Applied Art of Acting. Acting classes running in Dublin for over 15 years, taught by David Scott. Corporate training. www.davidscott.ie E. scottdavidmichael@gmail.com",[],,,,,1 Foley St Dublin 1 D01 WA07 Foley St,D01 WA07,53.3527936,-6.2492934,[],,,,,EUR,,,https://davidscott.ie/,,scottdavidmichael@gmail.com,+353877596715,[],"['https://davidscott.ie/', 'https://dostuff.ie/providerpages/acting-classes-dublin-and-online/']",2026-05-07T17:17:56,,https://dostuff.ie/wp-content/uploads/2026/05/IMG_8154.jpeg
Acting Workshops Baldoyle D13,"Acting & Drama, Adult Learning, DIY, Life Skills, Audition Preparation, Music, Drama & Performance, Public Speaking & Presentation","A no nonsense approach to the art of acting. Workshops are designed for actors of all levels of experience and for those without any previous experience who are keen to unleash their creative side. The workshops will cover character development, script analysis and delivering an authentic performance for both stage and screen. In a fun, safe space, the workshops will improve your communication skills , public speaking , self-confidence , self-esteem and resilience . You will be encouraged to push yourself out of your comfort zone and approach each session with an open mind.",[],,,,,"Baldoyle Racecourse Community Centre, d13 x226",D13PK63,53.4001804,-6.1372329,[],,,,,EUR,,,https://www.actorwilliammorgan.com,,wm.morgan@gmail.com,0868742749,[],"['https://www.actorwilliammorgan.com', 'https://dostuff.ie/providerpages/acting-workshops-baldoyle-d13/']",2026-02-24T11:16:15,,https://dostuff.ie/wp-content/uploads/2026/02/DoStuff-1.png
Acting Workshops – Dublin 2,"Acting & Drama, Adult Learning, DIY, Life Skills, Audition Preparation, Public Speaking & Presentation","A no nonsense approach to the art of acting. Workshops are designed for actors of all levels of experience and for those without any previous experience who are keen to unleash their creative side. The workshops will cover character development, script analysis and delivering an authentic performance for both stage and screen. In a fun, safe space, the workshops will improve your communication skills , public speaking , self-confidence , self-esteem and resilience . You will be encouraged to push yourself out of your comfort zone and approach each session with an open mind.",[],,,,,"The Pearse Centre, 27 Pearse St",D13PK63,53.3450737,-6.2534374,[],,,,,EUR,,,https://www.actorwilliammorgan.com,,wm.morgan@gmail.com,0868742749,[],"['https://www.actorwilliammorgan.com', 'https://dostuff.ie/providerpages/acting-workshops/']",2026-02-24T11:11:29,,https://dostuff.ie/wp-content/uploads/2026/02/DoStuff.png
Activities with Support for Intellectual Disabilities,Intellectual Disability Supported Inclusion,"This category will be populated with activities by individuals, community groups and organisations which have the necessary supports to enable children and adults with an intellectual disability to take part. Add your activity here",[],,,,,,,,,[],,,,,EUR,,,https://dostuff.ie/providerpages/activities-with-support-for-intellectual-disabilities/,,,,[],['https://dostuff.ie/providerpages/activities-with-support-for-intellectual-disabilities/'],2026-01-23T13:11:44,,https://dostuff.ie/wp-content/uploads/2026/07/B2EA6C2F-6AB2-4022-BF2F-D287C4F243FE.jpg
Adult Beginner Piano Class,"Adult Learning, DIY, Life Skills, Keyboard, Music School, Music Theory, Music, Drama & Performance, Piano","A relaxed, supportive space where you can take time each week just for you. Discover the joy of making music and learning something new with like-minded adults. No experience needed and no age limit! Classes take place in a small group setting in Kilbeggan, Co. Westmeath and are personally led by Áine Nolan PhD - 20+ years teaching experience. Limited availability! Email info@ainenolan.com to secure your place.",[],,,,,,,53.3650473,-7.49398,[],,,,,EUR,,,https://dostuff.ie/providerpages/adult-beginner-piano-class/,,info@ainenol.com,,[],['https://dostuff.ie/providerpages/adult-beginner-piano-class/'],2026-02-10T10:58:12,,https://dostuff.ie/wp-content/uploads/2025/07/Do-Stuff-Music-And-Performance-1920x1280-1.webp
Afterschool service,"Afterschool Clubs, Camps & Afterschool, Homework Clubs","Afterschool collection and care, homework support, healthy snack provided and lots of fun indoor and outdoor activities.",[],,,,,Firhouse,D24,53.2823254,-6.3415209,[],,,,,EUR,,,https://dostuff.ie/providerpages/afterschool-service/,,juniorexplorers1@hotmail.com,,[],['https://dostuff.ie/providerpages/afterschool-service/'],2026-07-21T18:58:40,,https://dostuff.ie/wp-content/uploads/2026/07/ISIMG-789124.jpeg
Alize’s School of Singing,"Choirs & Ensembles, Guitar, Music, Drama & Performance, Musical Theatre, Piano, Singing & Vocal Coaching, Ukulele","Alize’s School of Singing is an award-winning music and performing arts school based in Kilkenny, dedicated to building confidence, creativity, and performance skills in children, teens, and adults. Founded by Alize Comerford, the school offers expert tuition in singing, drama, musical theatre, piano, guitar, ukulele, pop choir, and performance training in a fun, supportive, and encouraging environment.",[],,,,,"Danville Business Park, Ring Rd",,52.6356196,-7.2351915,[],,,,,EUR,,,http://www.schoolofsinging.ie,,admin@schoolofsinging.ie,,[],"['http://www.schoolofsinging.ie', 'https://dostuff.ie/providerpages/alizes-school-of-singing/']",2026-06-07T18:23:05,,https://dostuff.ie/wp-content/uploads/2026/06/38330.png
Archaeology Camps – Booking Now,"Archaeology, Camps & Afterschool, Nature & Outdoor Camps, Nature, Outdoors & Group Meet-Ups","Our camps provide a new and fascination alternative to sports -themed camps and other school break activities for children aged between 7-12 years old. If your child is a curious explorer with a thirst for knowledge about the past this is the camp for them! With camps all year round they introduce children to the mysteries and adventures of our past in a fun, practical and hands on way. Sparking their imagination.",[],,,,,Various Locations - please see website,Various Locations - please see website,,,[],,,,,EUR,,,http://sia.ie/archaeology-summer-camps-for-kids/,,info@sia.ie,087 7556808,[],"['http://sia.ie/archaeology-summer-camps-for-kids/', 'https://dostuff.ie/providerpages/archaeology-camps-booking-now/']",2026-05-08T13:58:56,,https://dostuff.ie/wp-content/uploads/2026/07/c25f5ae1-76c3-4dea-8f0e-18742b17a180-2-2.png
Art Classes/Private mentoring,"Art, Craft & Making, Card Making, Drawing & Illustration, Kids Art Club, Painting","We offer private art mentoring for 1on1, groups on a regular basis or a once-off. Perfect if you’re looking for a rainy day activity when visiting Westport. We have classes for children and adults throughout the year available in blocks of 4-8 weeks and options for drop in occasionally (more so throughout the summer) whether your a local and want a hand with a project, or you want to master a certain skill or your visiting with your family and want to try something different and spend a couple hours watercolour painting on a Rainy day.. contact us to organise the perfect activity for you. we cover watercolour, acrylic painting, drawing, basic crafts and card making.",[],,,,,"Unit 2 The Courtyard , James Street, Westport",F28DP40,,,[],,,,,EUR,,,https://www.westportartmusicschool.com,,westportartmusicschool@gmail.com,09844573,[],"['https://www.westportartmusicschool.com', 'https://dostuff.ie/providerpages/art-classes-private-mentoring/']",2025-09-21T12:32:35,,https://dostuff.ie/wp-content/uploads/2025/09/IMG_2421.jpeg
