Title,URL,Website,Phone,Description,Address,Latitude,Longitude,Categories,Dublin Zone,Book Now URL,Added Date,Image URL
1 Day Antenatal Class,https://dublincitymum.ie/listing/1-day-antenatal-class/,https://1dayantenatalclass.com/,,"1 Day Antenatal Class is a midwife run Sunday class in North Dublin. Comprehensive, convenient, and reassuring. A warmly inclusive day where you will leave feeling very well informed and reassured on all aspects of your labour, birthing, and infant care. | Midwife, Helen, a mother of three, two boys and a girl, has over 20 years experience in nursing and midwifery in Ireland and abroad. She has cared for thousands of pregnant women and their babies. She is dedicated to providing you with the ‘Gold Standard’ in pregnancy, birth, and infant care education. | Her midwifery training was completed at the Rotunda Hospital in Dublin and she is a registered as a nurse and midwife with the Nursing & Midwifery Board Ireland (NMBI). The cutting edge research Helen leads on ‘Women’s Health in Pregnancy’ for the HSE and a Dublin Maternity Teaching Hospital is published worldwide in the most respected medical journals, including the BMJ (British Medical Journal). | She is also the ‘Pregnancy & Birth Expert’ contributor to many pregnancy and parenting magazines.","Malahide, Dublin, K36 XT65, Ireland",53.450752,-6.147396,Antenatal Classes,,,,https://dublincitymum.ie/wp-content/uploads/2025/08/suhyeon-choi-NIZeg731LxM-unsplash-800x600.jpg
14 Henrietta Street Museum,https://dublincitymum.ie/listing/14-henrietta-street-museum/,https://14henriettastreet.ie/,,"14 Henrietta Street is an award-winning museum located in Dublin city centre that offers a compelling indoor experience for families, bringing over 300 years of social history to life within the walls of a beautifully restored Georgian townhouse. | Guided tours provide an immersive journey through the building’s transformation from an aristocratic residence to tenement housing, highlighting the contrasting lifestyles of its residents. Children can engage with the personal stories of past inhabitants, learning about their daily lives, challenges, and resilience. The museum’s interactive exhibits and restored interiors offer a poignant and educational experience, making it an ideal destination for families interested in exploring Dublin’s rich history.​","14 Henrietta St, Inns Quay, Dublin 1, D01 HH34, Ireland",53.35241,-6.270212,Indoor,,,,https://dublincitymum.ie/wp-content/uploads/2025/08/14-henrietta-street-tour.jpg
2210 Patisserie,https://dublincitymum.ie/listing/2210-patisserie/,https://2210patisserie.ie/,+353851584158,"Make birthdays unforgettable with 2210 Patisserie’s jaw-dropping custom cakes and a mouthwatering array of sweets—from donut towers and cupcakes to brownies and traybakes. Based in Mullingar and with a pop-up at Powerscourt Townhouse in Dublin, they offer beautifully crafted, freshly baked treats (think Irish butter, Belgian chocolate, imaginative designs), delivered nationwide or available for collection. Known for creativity, taste, and that “wow” effect, they bring both flair and flavour to every celebration.","2210 Patissiere , Powerscourt Townhouse Centre D02 HF95",,,Cakes + Caterers,,,,https://dublincitymum.ie/wp-content/uploads/2025/08/Screenshot-270-644x600.png
3fe Clancy Quay,https://dublincitymum.ie/listing/3fe-clancy-quay/,https://3fe.com/,,"3fe – Clancy Quay | (Islandbridge, Dublin 8) | Tucked into the creative pulse of Islandbridge, this sunlit café is a caffeine haven for grown-ups and a calm, welcoming space for families. They pour exceptional coffee alongside vibrant brunch plates, baked treats, and friendly service—all at mid-range prices that feel just right for a treat without blowing the budget. High chairs mean tots can tuck in comfortably; while there’s no dedicated kids’ menu, the casual vibe and crowd-pleasing options make every visit family-friendly and fuss-free. | Kids Menu: | Not explicitly listed, but the atmosphere and treats make it child-appealing. | High Chairs: | Yes | Baby Changing: | Yes | Why It’s Great: | Quality fare in a beautiful setting—perfect for parents and little ones alike. | Nearby Family Activity: | Just a short wander away lies | Phoenix Park | , one of Europe’s grandest city parks. Here, families can feed the ducks, try bike rental, or explore the accessible playground near the Visitor Centre—plus, spot deer grazing in the meadow or wander the tree-lined avenues for easy adventure.","Saint James, Dublin 8, D08 WTX9, Ireland",53.346088,-6.308013,Eat,,https://3fe.com/locations,,https://dublincitymum.ie/wp-content/uploads/2025/08/Screenshot-2025-08-31-at-12.30.58-748x600.png
A Good Moment Company,https://dublincitymum.ie/listing/a-good-moment-company/,https://agoodmomentcompany.ie/,+353879584919,"A Good Moment Company transforms your home into a place you love, not just live in—by editing, simplifying, and organising spaces with empathy and attention to detail. Led by CPD-trained organiser Jenny Douglas from Killester, Dublin, they use a warm, non-judgmental approach to gently create calm, joyful environments tailored to your needs. From in-person editing and virtual coaching to moving support, talks, workshops, and even gift cards, each service aims to let the good in and the clutter out","9 St Brigid's Rd, Killester, Dublin, D05 K3V1",,,Wellbeing,,,,https://dublincitymum.ie/wp-content/uploads/2025/09/Screenshot-305-422x600.png
A Little Idea,https://dublincitymum.ie/listing/a-little-idea/,https://www.alittleidea.ie/,,"If you adore jewellery that makes a statement | and | warms your heart, | A Little Idea | is pure magic. Based in Dublin, Ali creates award-winning, feel-good jewellery, teacup pieces, greeting cards, retro hair accessories — all with a vintage-inspired twist and a modern spark. | Each piece is lovingly handcrafted right here in Ireland, often using laser-cut acrylic and sustainable materials. The collections are playful, bold, and full of personality, the kind of jewellery you pull out when you want your outfit (and your mood) to shine a little brighter. | We’re absolutely smitten with A Little Idea because it blends Irish craftsmanship, joyful design, and a touch of whimsy making every purchase feel like choosing a little piece of magic.",Online,,,Jewellery Designers,,,,https://dublincitymum.ie/wp-content/uploads/2025/10/Screenshot-2025-10-05-at-09.19.36-800x600.png
ALCI Ireland,https://dublincitymum.ie/listing/alci-ireland/,http://www.alcireland.ie/,,"The Association of Lactation Consultants in Ireland (ALCI) is your breastfeeding ally, connecting families across Dublin and beyond with trusted, internationally accredited support. As the national body for IBCLC professionals—International Board Certified Lactation Consultants—it provides a directory to help you find expert, evidence-based help, whether you’re looking for in-person or HSE-supported care. ALCI also supports families through antenatal breastfeeding classes, continuous breastfeeding education, and a nurturing community of professionals dedicated to empowering breastfeeding journeys",Various locations,,,Breastfeeding,,,,https://dublincitymum.ie/wp-content/uploads/2025/08/aditya-romansa-5zp0jym2w9M-unsplash-800x600.jpg
Active Mum .ie,https://dublincitymum.ie/listing/active-mum-ie/,https://activemum.ie/,,Spend quality time with your baby.  Learn how to give your baby a massage and meet other local mums for friendship and support. | There are 3 classes on offer: | Baby Massage | Story Massage & Sensory Play | Massage In Schools | ​,"Castleknock Community Centre, Laurel Lodge Road, Dublin 15",,,Baby + Toddler Classes,,,,https://dublincitymum.ie/wp-content/uploads/2025/08/active-mum.png
Active South Dublin,https://dublincitymum.ie/listing/active-south-dublin-2/,https://www.sdcc.ie/en/activesouthdublin/,+35314149000,"Active South Dublin works to make physical activity fun, accessible, and inclusive for young people across South Dublin County. | Through partnerships with schools, clubs, and community groups, the Active Youth programme offers a range of engaging activities for children and teenagers – from school fitness sessions and sports days to after-school clubs and adventure challenges. | ​ | Whether it’s football, basketball, active play, or creative fitness, these programmes help young people stay healthy, confident, and connected.",Various Locations,,,Exercise,,,,https://dublincitymum.ie/wp-content/uploads/2025/08/Screenshot-221.png
Active South Dublin,https://dublincitymum.ie/listing/active-south-dublin/,https://www.sdcc.ie/en/activesouthdublin/contact-us/,+35314149000,"The Teen Street Dance Programme is a free, fun, and energetic way for teenagers to stay active through dance. Funded by Active South Dublin in partnership with Tallaght Community Arts, the programme runs in local community centres in Adamstown, Quarryvale, and Palmerstown. | ​ | Perfect for teens who prefer an alternative to traditional sports, the workshops focus on learning routines, building confidence, and getting moving in a relaxed, creative environment. It’s a great way to try something new, express yourself, and make new friends—no dance experience needed!",,,,Dance,,,,https://dublincitymum.ie/wp-content/uploads/2025/06/Screenshot-141.png
Active Sport,https://dublincitymum.ie/listing/active-sport/,https://www.activesport.ie/,+353863317289,"Active Sport Ireland has been promoting fun, healthy, and inclusive sports opportunities for kids since 2005. Founded by Mark Whitwood, the group now offers a range of activity programmes to keep young people active and engaged. | ​ | Active Sport: Multi-sport activities for children aged 4-11. | Active Totz: Play-based physical activities for toddlers aged 18 months to 4 years. | Active Soccer: Football camps and classes for kids aged 4-11. | ​ | With professional coaching and a commitment to quality, Active Sport Ireland helps combat inactivity and encourages kids to develop a love for sports",Various Locations,,,Sport,,,,https://dublincitymum.ie/wp-content/uploads/2025/08/Screenshot-204-800x600.png
Adventure Catering,https://dublincitymum.ie/listing/adventure-catering/,https://adventurecatering.ie/,+353868334251,"Catering for all tastes, all party types and sizes, Adventure Catering is a premium Food Truck, Hog Roast & Street Food Event Catering Company working throughout Dublin and Ireland.",Various locations,,,Cakes + Caterers,,,,https://dublincitymum.ie/wp-content/uploads/2025/08/Adventure-Catering-800x600.png
Ah Wines,https://dublincitymum.ie/listing/14848/,http://ah-wines.com/,,"Ah Wines | is the brainchild of the ever-fabulous Amy Huberman, actress, writer, and all-round ray of sunshine who has brought her trademark warmth and wit to the world of wine. Designed to be approachable, fun, and full of personality, Ah Wines captures Amy’s easy charm and her knack for celebrating life’s little moments. | The range includes a crisp Sauvignon Blanc and a playful Cava Rosé, both produced in Spain and perfect for sharing with friends or enjoying during a well-earned moment of calm once the kids are tucked up in bed! Ah Wines brand radiates the same spirit of togetherness and light-hearted fun that we all know and love Amy for.",,,,Brands We Love; Gifts,,,,https://dublincitymum.ie/wp-content/uploads/2025/11/IMG_0081-800x600.jpeg
Airfield House & Gardens,https://dublincitymum.ie/listing/airfield-house-gardens/,https://www.airfield.ie/,,"Airfield Estate | is very much a family destination and Dublin’s only 38 acre working farm, gardens, kitchen education and food destination. Located in Dundrum, just a 5 minute walk from the Balally Luas stop, it’s an urban farm and gardens where kids can explore the gardens and farm with Jersey cows, sheep, Connemara ponies plus much more. We are regulars for the egg collection at 10am followed by cow milking. Most days the kids even get to try the milk from the previous day which has been pasteurised. It’s such a fantastic experience for kids and we LOVE it. | Food in the | Overends Restaurant | is amazing and they’ve a great kids menu. | Each day you are invited to join their farm activities: | 10.00am: Egg collection at hen houses | 10.30am: Jersey Heard Milking in the farmyard | 11.00am: Calf feeding in the farmyard | ​","Drummartin, Dublin, D14 EE77, Ireland",53.288539,-6.23441,Outdoor,,,,https://dublincitymum.ie/wp-content/uploads/2025/08/Airfield_Estate-600x449-1.png
Alix Gardner's Cookery School,https://dublincitymum.ie/listing/alix-gardners-cookery-school/,https://www.dublincookery.com/cookery-workshops-for-children/,+35316681553,"This is where young foodies are discovered! Alix Gardner’s Cookery shows children the fun and the wonder of cooking. They learn traditional cooking skills and have fun with good, honest, delicious food. From artisan kitchen crafts, to experimenting with flavour combinations and exploring food cultures and kitchen traditions, their children’s cookery courses are specifically designed to educate, inspire and engage young chefs into the world of cookery. while having a great time in the kitchen in a safe and warm environment.","71 Waterloo Rd, Ballsbridge, Dublin",,,Cooking,,,,https://dublincitymum.ie/wp-content/uploads/2025/07/Screenshot-189.png
