Title,URL,Tagline,Description,Categories,Ages Detail,Region,Address,Latitude,Longitude,Phone,Email,Website,Facebook,Instagram,Other Links,Pricing,Verified,Promoted,Listing Type,Thumbnail
Turtle Tots,https://totsspots.com/listing/turtle-tots-2/,Swimming lessons for babies and toddlers!,"Teach your little one a skill for life with our inspiring and supportive baby, toddler, and preschool swimming lessons.
From the first dip of the toe, Turtle Tots is a magical journey between parent and child.
Develop water confidence, safety, and swimming skills through our unique and multi award-winning, child-led programme.",Swimming,"0-6 months, 6-12 months, 1 year old, 2 year old, 3 year old, 4 year old",Antrim,"Fitzpatrick Castle Hotel Killiney  Royal Marine Hotel Dún Laoghaire  Terenure College, Dublin, D6W DK72, Ireland  Clayton Hotel Cardiff Lane Cardiff Lane  Hilton Hotel Kilmainham South Circular Rd  Sports & Fitness Ballyfermot 10 Blackditch Rd  Maldron Hotel Tallaght Whitestown Way  CRC Clontarf Penny Ansley Building  Clayton Hotel Liffey Valley Fonthill Road  Castleknock Hotel Porterstown Road  Sports & Fitness Finglas Mellowes Road  Sports & Fitness Ballymun Ballymun Rd  Clayton Hotel Cork City Lapp's Quay  Maldron Hotel Shandon Cork City  Ballincollig, Cork, P31 DY93, Ireland",53.26935,-6.11305,+353 (0)16933422,jointhefun@turtletots.ie,https://www.turtletots.ie/,,https://www.instagram.com/turtletotsireland/,,Winter term: 210€; Spring Term: 210€; Summer Term: 210€; Autumn Term: 210€,True,False,groups-and-classes,https://totsspots.com/wp-content/uploads/listing-uploads/logo/2026/05/Untitled-150x150.webp
Baby Sensory Kildare & Carlow,https://totsspots.com/listing/baby-sensory-kildare-carlow/,Learning & Development Programme for babies 0-13m.,"Baby Sensory is an award-winning, research-based program for babies from birth to 13 months, designed to stimulate, educate, and support development through sensory experiences. Classes include activities like lights, music, bubbles, and massage to promote learning, movement, and bonding. These sessions also offer parents opportunities to connect, share experiences, and learn new, practical ideas to use at home.
Its a beautiful space where your baby can explore, learn and grow through gentle, magical sensory experiences. Each class is carefully designed to support your baby’s early learning and development, following their natural rhythm of play, rest, play. From colour and light to sound, movement and texture, every activity helps stimulate growing brains in a calm, nurturing way.
It’s also a special moment for you. A chance to slow down, connect with your baby, and meet other parents in a warm, welcoming environment where everyone understands those early months.
Classes held in Mondays in Carlow, Tuesdays in Newbridge & Thursdays in Naas.","Playgroups, Sensory/Messy Play","0-6 months, 6-12 months",Carlow,"Ballymany, Newbridge, County Kildare, W12 T925, Ireland  Carlow, R93 V4K5, Ireland  Monread South, Naas, County Kildare, W91 XV8Y, Ireland",53.17047,-6.81433,,kildare@babysensory.ie,https://www.babysensory.ie/kildare/,,https://www.instagram.com/babysensorykildare/?hl=en,,,True,False,groups-and-classes,https://totsspots.com/wp-content/uploads/listing-uploads/logo/2026/02/16317392104418283786-150x150.webp?crop=1
"Ballon Parent, Baby & Toddler Group Carlow",https://totsspots.com/listing/ballon-parent-baby-toddler-group/,"Ballon Parent, Baby and Toddler Group","Ballon Parent and Toddler Group in Carlow is a welcoming space for parents/carers/grandparents and children. The group operates drop in sessions so no need to book a block. Enjoy a ranges of fun toys for the kids and a great place to meet new people.
There are changing facilities and lift for the buggies. Refreshments are provided for too.
The group at times has special guests and activities for the kids such as Moo Music or Stretch and Grow
📍Location: Upstairs Ballon Hall, Ballon, Co. Carlow, R93 A9D0
🗓️⏰Time: Every Thursday from 9.30 - 11.00  (during term time)
💶 Cost: €3 per family
🧸Contact Details: you can contact 085 72 02 358 for any queries","Playgroups, Baby & Toddler Group","0-6 months, 6-12 months, 1 year old, 2 year old, 3 year old, 4 year old, 5 year old",Carlow,"Ballon, County Carlow, Ireland",52.7391,-6.76978,085 72 02 358,,,https://www.facebook.com/p/Ballon-Parent-and-Toddler-Group-61559704948773/,,,Per Family: 3€,False,False,groups-and-classes,https://totsspots.com/wp-content/themes/my-listing/assets/images/marker.jpg
"Borris Parent, Baby & Toddler Group Carlow",https://totsspots.com/listing/borris-parent-baby-toddler-group-carlow/,"Borris Parent, Baby and Toddler Group","Borris Parent, Baby and Toddler Group in Carlow has an active Facebook page and whatsapp group. The group is open to ages 0-5 years with their parent/caregiver. It is a perfect place to meet new people, have a chat and a coffee while the kids play. There are plenty of toys and space for the kids to have fun and interact with others. New people are always welcome, just pop in!
📍Location: Upstairs Borris Townhall, Carlow
🗓️⏰Time: Every Wednesday from 9.30 - 11.30  (during term time)
💶 Cost: €3 per family
🧸Contact Details: you can contact 087 4519376 for any queries","Playgroups, Baby & Toddler Group","0-6 months, 6-12 months, 1 year old, 2 year old, 3 year old, 4 year old, 5 year old",Carlow,"Borris, County Carlow, R95 AY07, Ireland",52.60569,-6.92435,087 4519376,,,https://www.facebook.com/profile.php?id=61565367952130,,,Per Family: 3€,False,False,groups-and-classes,https://totsspots.com/wp-content/themes/my-listing/assets/images/marker.jpg
Carlow Parent & Toddler Messy Play Group - Visual Carlow,https://totsspots.com/listing/visual-carlow-parent-toddler-messy-play/,‘Little Visual’ Group,"A series of Early Years workshops at VISUAL for children aged 1-4 years and their adults exploring the galleries and exhibitions and engaging in a sensory and messy play activity each week.
The workshops will be led by artist Marian Balfe. Children should wear messy-friendly clothes!
Must be booked in advance.
Tickets can be purchased online, in person or over the phone at Box Office
📍Location: VISUAL,  Old Dublin Road, Carlow, Ireland
🗓️⏰Time: Every Thursday from 10.00am (may not run all year)
💶 Cost: €5 per child (1 adult goes free)
🧸Contact Details: you can contact boxoffice@visualcarlow.ie for any queries
Note: please check their website and socials to keep up to date with the toddler group activities as they may change throughout the year.","Playgroups, Art & Crafts, Sensory/Messy Play, Baby & Toddler Group","1 year old, 2 year old, 3 year old, 4 year old",Carlow,"Carlow, R93 A3K1, Ireland",52.83814,-6.92804,+353 59 917 2400,boxoffice@visualcarlow.ie,https://visualcarlow.ticketsolve.com/ticketbooth/shows,https://www.facebook.com/profile/100081841998455/search?q=%22%F0%9D%97%9F%F0%9D%97%B6%F0%9D%98%81%F0%9D%98%81%F0%9D%97%B9%F0%9D%97%B2%20%F0%9D%97%A9%F0%9D%97%9C%F0%9D%97%A6%F0%9D%97%A8%F0%9D%97%94%F0%9D%97%9F%22,https://www.instagram.com/visual_carlow/,,Per Child: 5€,False,False,groups-and-classes,https://totsspots.com/wp-content/themes/my-listing/assets/images/marker.jpg
Chime in & Play,https://totsspots.com/listing/chime-in-play/,Help young children learn and develop through playing and music.,"Various Locations dates and Times. See Website for more information. Some venues operate a summer term/classes.
You and your child will build creativity, confidence and lifelong friendships. Our classes are specially designed to help young children learn and develop through playing and music. Our classes also help you learn about your child -- how to participate in and encourage their development -- while enjoying the simple pleasure of playing together.","Movement & Play, Playgroups, Music, Sensory/Messy Play","1 year old, 2 year old, 3 year old, 4 year old, 5 year old",Carlow,"Carlow, R93 DK06, Ireland  St Wolstan's Abbey, Celbridge, County Kildare, Ireland  De La Salle Pastoral Centre, Saint Patrick's Road, Ballynerrin Lower, Wicklow, Ireland  96 South Main Street, Gully, Bandon, County Cork, Ireland  Cloheen, Clonakilty, County Cork, P85 RD23, Ireland",52.83556,-6.92065,,,https://www.playandmusic.ie/Chimein/location/location.shtml,,,,See Website (classes from): 15€; See Website (terms from): 50€,False,False,groups-and-classes,https://totsspots.com/wp-content/themes/my-listing/assets/images/marker.jpg
ClapHandies PlayLabs - Carlow,https://totsspots.com/listing/claphandies-playlabs-carlow/,Developmental sensory play classes,"The PlayLabs are weekly developmental sensory play classes for babies, wobblers and/or toddlers. The classes are designed to provide a fun and engaging environment for both children and adults! With music, learning, social interaction, and sensory play, you and your little one are sure to have a great time together. They are also a chance for children to socialise with children of their own age, while offering parents/caregivers the opportunity to get to know others in their area too.
Baby PlayLabs (6 weeks  - 7 months)  - 55 minute class duration
Wobbler PlayLabs (8 months - 15 months)  - 50 minute class duration
Toddler PlayLabs (16 months - 3.5 years)  - 50 minute class duration
We typically run toddlers at 9.45am/10am, wobblers at 10.45am/11am and babies at 11.45am/12pm - venue dependent. You can check out more information about our classes on our website: https://site.claphandies.com/
In addition to your term's booking, we also offer you 3 months free access to ClapHandies at Home which is an online resource filled with hours of follow-along music and guided playtime videos for you and your little ones to enjoy at home. So if you miss any of your classes during a term, you can run your own PlayLab at home or just tune in to have some extra fun during the week.
If you are signing up for our Baby PlayLabs in particular, we also provide you with a link to our informative Baby Massage e-manual so you can continue practising the massage strokes at home.","Playgroups, Sensory/Messy Play, Movement & Play","0-6 months, 6-12 months, 1 year old, 2 year old, 3 year old",Carlow,"Mortarstown Upper, County Carlow, R93 N207, Ireland",52.81385,-6.95171,,office@claphandies.com,http://www.claphandies.com/,https://www.facebook.com/ClapHandies/,https://www.instagram.com/claphandies/,,Full 7 week term: 133€; 6 remaining weeks of the term: 114€; 5 remaining weeks of the term: 95€; 4 remaining weeks of the term: 76€; 3 remaining weeks of the term: 57€; 2 remaining weeks of the term: 38€; 1 remaining week of the term: 19€,True,False,groups-and-classes,https://totsspots.com/wp-content/uploads/2024/08/Logo-1-5-1-1-150x150.webp?crop=1
Dance Republic Tiny Dancer,https://totsspots.com/listing/dance-republic-tiny-dancer/,"Tiny dancer classes, ages 1-3 years.","✨ Tiny Dancer Classes (Ages 1–3) ✨
For over a decade, our beloved Tiny Dancer programme has brought the magic of music, movement, and dance to young children. These engaging, laid-back sessions are crafted for toddlers and their parents to share in the fun together.
Each 50-minute class is packed with lively movement to well-known songs, from nursery rhymes to favorites that both kids and parents adore. Through simple dance steps, rhythm activities, and imaginative movement, tiny dancers build coordination, confidence, and a passion for music.
To add a special touch, we offer a brief mid-class break with a small snack for the children and a cup of tea for parents – a moment to relax, connect, and enjoy the warm community that has blossomed around Tiny Dancer over the years.
Our Tiny Dancer classes are a lovely introduction to dance. Gentle, joyful, and filled with cherished moments for you and your little one.","Dance, Movement & Play","1 year old, 2 year old, 3 year old",Carlow,"Carlow, R93 V275, Ireland",52.83675,-6.92869,0830700225,robyncu@icloud.com,,https://www.facebook.com/share/1JGtZG6A29/?mibextid=wwXIfr,,,4 week term: 40€,True,False,groups-and-classes,https://totsspots.com/wp-content/themes/my-listing/assets/images/marker.jpg
Dancing Tots,https://totsspots.com/listing/dancing-tots-toddler-dance-class-carlow/,Parent and toddler class for 1-5 year olds,"Come join us for a fun-filled dance party in New Oak Community Centre, from 11.30am-12.20pm on the 14th of September. The class is perfect for 1 to 4 year olds who love to move and groove. Let your tots show off their best dance moves and make new friends on the dance floor.
Don't miss out on this opportunity to let your tots shine and bond with your child through the power of dance. See you there!
Classes are on the 14th, 21st, 28th of September (no class on the 5th) &12th of October
Fee: €40 for 4 classes (Deposit of €20 payable on booking Via Revolut, 0892224672.) Remainder of €20 paid on the first day of class.
PM, Call or Whatsapp 0892224672 for bookings and further enquiries.",Dance,"1 year old, 2 year old, 3 year old, 4 year old, 5 year old",Carlow,"Carlow, R93 DK06, Ireland",52.83556,-6.92065,0892224672,natalie_cummi27@hotmail.com,,,,,4 week Term: 40.00€,True,False,groups-and-classes,https://totsspots.com/wp-content/themes/my-listing/assets/images/marker.jpg
Little Lullabies Baby Massage,https://totsspots.com/listing/little-lullabies-baby-massage/,Baby Massage Carlow,"5 week Baby Massage in New Oak Community Residence Carlow.
1030am to 12pm approx every week.
Baby massage has many benefits helpful for digestion, colic, sleep, bonding.
All supplies provided, cushions, handouts, oil etc..
Just bring Baby and enjoy 1 on 1 time with your baby.",Baby Massage,"0-6 months, 6-12 months",Carlow,"Carlow, R93 DK06, Ireland",52.83556,-6.92065,0877599221,eileennail76@gmail.come,,,https://www.instagram.com/lullabymassage2024?igsh=MXJmMGs2aWR6cnQwbA==,,5 week course: 120€,True,False,groups-and-classes,https://totsspots.com/wp-content/themes/my-listing/assets/images/marker.jpg
