company_name(s),dead_url,error_or_status,confidence_dead,working_alternate,alternate_type
Alix Gardner's Cookery School,https://www.dublincookery.com/cookery-workshops-for-children/,HTTP Error 404: Not Found,HIGH - page not found (404),,
Baby Massage with Kathryn,https://www.facebook.com/share/1BVRyYhpbW/%20https://www.instagram.com/katarchard_infantmassage?igsh=MXhoaGppanNicTR0OQ==,HTTP Error 404: Not Found,HIGH - page not found (404),,
"Belcarra Parent, Baby and Toddler Group",https://www.belcarra.ie/community-futures/,HTTP Error 404: Not Found,HIGH - page not found (404),,
Bloomfield Health & Leisure Club,https://www.bloomfieldhousehotel.ie/swim-lessons.html,HTTP Error 404: Not Found,HIGH - page not found (404),,
Bushy Park Tennis Academy,http://www.bushytennispadel.ie/index.aspx,HTTP Error 404: Not Found,HIGH - page not found (404),,
Clonmel & Cashel Parent and Baby Group,https://clonmelcommunitymother.ie/mother-baby-parent-toddler/,HTTP Error 404: Not Found,HIGH - page not found (404),,
"Clonmel / Cahir Parent, Baby & Toddler Group",https://clonmelcommunitymother.ie/mother-baby-parent-toddler/?fbclid=IwZXh0bgNhZW0CMTAAYnJpZBExdEpvak95U0xFbkJad1RSWQEeeoNimM8kgjZpnmCbCqxXTN_kmMX7SvQ0rjk1hxeWTf5a0nb_9yOIqHQLLiA_aem_6r8M0595DRJfrCoaLCSF5g,HTTP Error 404: Not Found,HIGH - page not found (404),,
Creation Cup,https://www.creationcup.ie,"<urlopen error [Errno 8] nodename nor servname provided, or not known>",HIGH - domain does not exist (DNS failure),https://www.creationcup.com/,DIFFERENT DOMAIN - verify it is the same business
Debbie Allen Dance School,https://www.debbieallendanceschool.com/contact.html,"<urlopen error [Errno 8] nodename nor servname provided, or not known>",HIGH - domain does not exist (DNS failure),,
Deerpark Tennis Club,https://clubspark.net/deerparkTennisClub,HTTP Error 404: Not Found,HIGH - page not found (404),,
Dimples Baby Massage,https://www.dimplesbabymassage.com/,"<urlopen error [Errno 8] nodename nor servname provided, or not known>",HIGH - domain does not exist (DNS failure),,
"Downstrands Parent, Baby and Toddler Group",https://downstrandsfrc.ie/downstrands-parent-toddler-group/,HTTP Error 404: Not Found,HIGH - page not found (404),,
