company_name(s),url,original_error,resolution
Stagekidz Academy,https://stagekidzacademy.com,"<urlopen error [Errno 8] nodename nor servname provided, or not known>",FIXED -> https://stagekidzacademy.ie
"Ramsgrange Parent, Baby and Toddler Group",http://swwfrc.ie/family-supports-swwfrc/the-parent-and-toddler-group/,<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1082)>,"ALIVE - site's own SSL cert is broken/expired, but content loads fine. Not a dead listing."
(already updated),https://beeutifulminds.ie,<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate (_ssl.c:1082)>,"ALIVE - site's own SSL cert is broken/expired, but content loads fine. Not a dead listing."
(already updated),https://galway.spydus.ie./cgi-bin/spydus.exe/MSGTRN/WPAC/HOME,"<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'galway.spydus.ie.'. (_ssl.c:1082)>","ALIVE - site's own SSL cert is broken/expired, but content loads fine. Not a dead listing."
(already updated),https://ie.miniathletics.com,"<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'ie.miniathletics.com'. (_ssl.c:1082)>","ALIVE - site's own SSL cert is broken/expired, but content loads fine. Not a dead listing."
www.birthandbaby.ie,https://www.birthandbaby.ie/,"<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.birthandbaby.ie'. (_ssl.c:1082)>","ALIVE - site's own SSL cert is broken/expired, but content loads fine. Not a dead listing."
Navan Library Parent and Toddler Group,https://www.meath.ie/council/events/navan-parent-and-toddler-storytime,<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1082)>,"ALIVE - site's own SSL cert is broken/expired, but content loads fine. Not a dead listing."
Oldcastle Library Parent and Toddler Group,https://www.meath.ie/council/events/oldcastle-parent-toddler-group,<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1082)>,"ALIVE - site's own SSL cert is broken/expired, but content loads fine. Not a dead listing."
"Ashbourne Library Parent, Baby and Toddler Group",https://www.meath.ie/events?keywords=&type%5B%5D=907,<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1082)>,"ALIVE - site's own SSL cert is broken/expired, but content loads fine. Not a dead listing."
"Trim Library Baby, Toddler and Kids Groups",https://www.meath.ie/events?keywords=&type%5B0%5D=919&ends=2024-07-07T10%3A29%3A48Z&location=&page=0,<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1082)>,"ALIVE - site's own SSL cert is broken/expired, but content loads fine. Not a dead listing."
